pair_id,frame_prev,frame_curr,timestamp_prev_s,timestamp_curr_s,mean_diff,std_diff,max_diff,center_mean,hotspot_x,hotspot_y,hotspot_tile_mean,concentration,bright_count_prev,bright_count_curr,bright_cx_prev,bright_cy_prev,bright_cx_curr,bright_cy_curr,position_delta_px,event_type
1,frame_0000.png,frame_0003.png,0.0,3.0,34.046,33.673,145,22.825,160,90,69.99,4.26,0,4887,,,807,19,,APPEAR
2,frame_0003.png,frame_0006.png,3.0,6.0,6.195,10.414,122,4.55,1120,450,15.32,19.69,4887,95,807,19,736,15,71.1,DISAPPEAR
3,frame_0006.png,frame_0009.png,6.0,9.0,25.25,26.31,153,28.553,160,630,53.9,6.06,95,0,736,15,,,,DISAPPEAR
4,frame_0009.png,frame_0012.png,9.0,12.0,7.036,7.143,154,8.838,480,450,11.38,21.89,0,354,,,336,75,,APPEAR
5,frame_0012.png,frame_0015.png,12.0,15.0,7.156,7.204,175,9.503,800,630,12.78,24.45,354,1027,336,75,89,58,247.6,OBJECT_MOVE
6,frame_0015.png,frame_0018.png,15.0,18.0,8.434,7.688,188,12.521,160,630,15.63,22.29,1027,598,89,58,22,18,78.0,OBJECT_MOVE
7,frame_0018.png,frame_0021.png,18.0,21.0,5.888,6.247,156,8.59,480,270,14.16,26.49,598,136,22,18,271,111,265.8,DISAPPEAR
8,frame_0021.png,frame_0024.png,21.0,24.0,4.851,5.802,194,6.615,800,450,7.79,39.99,136,70,271,111,627,501,528.0,OBJECT_MOVE
9,frame_0024.png,frame_0027.png,24.0,27.0,5.162,5.976,214,6.246,800,630,7.35,41.46,70,80,627,501,674,433,82.7,OBJECT_MOVE
10,frame_0027.png,frame_0030.png,27.0,30.0,5.246,6.081,215,6.092,800,630,8.82,40.98,80,74,674,433,310,391,366.4,OBJECT_MOVE
11,frame_0030.png,frame_0033.png,30.0,33.0,5.554,6.378,157,7.171,480,270,11.4,28.27,74,2442,310,391,40,43,440.5,APPEAR
12,frame_0033.png,frame_0036.png,33.0,36.0,6.241,6.354,178,9.152,480,270,12.23,28.52,2442,63,40,43,582,261,584.2,DISAPPEAR
13,frame_0036.png,frame_0039.png,36.0,39.0,5.403,6.215,176,7.027,480,630,7.9,32.57,63,55,582,261,731,303,154.8,OBJECT_MOVE
14,frame_0039.png,frame_0042.png,39.0,42.0,4.479,5.26,193,5.552,800,270,7.15,43.09,55,64,731,303,780,307,49.2,OBJECT_MOVE
