pair_id,frame_prev,frame_curr,timestamp_prev_s,timestamp_curr_s,mean_diff,std_diff,max_diff,center_mean,hotspot_x,hotspot_y,hotspot_tile_mean,concentration,bright_count_prev,bright_count_curr,bright_cx_prev,bright_cy_prev,bright_cx_curr,bright_cy_curr,position_delta_px,event_type
1,frame_0000.png,frame_0003.png,0.0,3.0,25.276,31.603,232,32.737,800,450,42.98,9.18,16160,15964,616,260,649,263,33.1,OBJECT_MOVE
2,frame_0003.png,frame_0006.png,3.0,6.0,48.81,46.107,238,66.84,1120,270,92.27,4.88,15964,10652,649,263,951,266,302.0,OBJECT_MOVE
3,frame_0006.png,frame_0009.png,6.0,9.0,47.276,43.406,239,54.28,1120,270,75.93,5.06,10652,23747,951,266,594,294,358.1,OBJECT_MOVE
4,frame_0009.png,frame_0012.png,9.0,12.0,29.072,33.246,253,35.272,480,630,45.81,8.7,23747,27556,594,294,592,296,2.8,OBJECT_MOVE
5,frame_0012.png,frame_0015.png,12.0,15.0,50.811,47.341,251,62.608,160,90,71.46,4.94,27556,27066,592,296,551,397,109.0,OBJECT_MOVE
6,frame_0015.png,frame_0018.png,15.0,18.0,50.165,47.429,244,65.687,480,270,71.02,4.86,27066,27659,551,397,618,364,74.7,OBJECT_MOVE
7,frame_0018.png,frame_0021.png,18.0,21.0,49.492,45.908,242,62.977,800,270,70.31,4.89,27659,31914,618,364,615,345,19.2,OBJECT_MOVE
8,frame_0021.png,frame_0024.png,21.0,24.0,44.007,42.288,252,56.671,800,450,63.24,5.73,31914,32004,615,345,636,331,25.2,OBJECT_MOVE
9,frame_0024.png,frame_0027.png,24.0,27.0,48.199,46.103,249,54.614,160,90,91.14,5.17,32004,8451,636,331,612,470,141.1,OBJECT_MOVE
10,frame_0027.png,frame_0030.png,27.0,30.0,44.702,41.413,240,54.562,1120,90,86.6,5.37,8451,36754,612,470,744,286,226.5,OBJECT_MOVE
11,frame_0030.png,frame_0033.png,30.0,33.0,52.57,46.698,248,69.201,480,270,84.91,4.72,36754,19180,744,286,646,286,98.0,OBJECT_MOVE
12,frame_0033.png,frame_0036.png,33.0,36.0,46.949,42.766,244,57.819,480,630,98.89,5.2,19180,18294,646,286,754,303,109.3,OBJECT_MOVE
13,frame_0036.png,frame_0039.png,36.0,39.0,50.334,42.427,240,51.281,160,90,100.1,4.77,18294,363,754,303,709,572,272.7,DISAPPEAR
14,frame_0039.png,frame_0042.png,39.0,42.0,38.32,35.289,223,42.06,1120,450,56.38,5.82,363,12490,709,572,509,430,245.3,APPEAR
15,frame_0042.png,frame_0045.png,42.0,45.0,43.061,40.076,240,41.122,480,630,86.91,5.57,12490,15916,509,430,697,581,241.1,OBJECT_MOVE
16,frame_0045.png,frame_0048.png,45.0,48.0,35.084,34.816,236,37.939,800,630,68.02,6.73,15916,6386,697,581,665,340,243.1,OBJECT_MOVE
17,frame_0048.png,frame_0051.png,48.0,51.0,44.608,42.085,241,49.177,480,630,84.14,5.4,6386,13109,665,340,907,215,272.4,OBJECT_MOVE
18,frame_0051.png,frame_0054.png,51.0,54.0,47.193,46.904,248,61.472,1120,90,77.06,5.26,13109,8286,907,215,646,320,281.3,OBJECT_MOVE
19,frame_0054.png,frame_0057.png,54.0,57.0,47.059,44.339,247,66.394,800,270,86.22,5.25,8286,26946,646,320,838,300,193.0,OBJECT_MOVE
20,frame_0057.png,frame_0060.png,57.0,60.0,40.108,39.012,245,52.968,800,270,59.23,6.11,26946,26405,838,300,890,319,55.4,OBJECT_MOVE
21,frame_0060.png,frame_0063.png,60.0,63.0,46.225,45.759,249,62.54,1120,270,85.24,5.39,26405,24517,890,319,975,89,245.2,OBJECT_MOVE
22,frame_0063.png,frame_0066.png,63.0,66.0,44.339,43.198,248,50.662,800,630,93.67,5.59,24517,28691,975,89,913,201,128.0,OBJECT_MOVE
