pair_id,frame_prev,frame_curr,timestamp_s,camera_event,cam_dx_px,cam_dy_px,pan_confidence,hf_prev,hf_curr,hf_ratio,ed_prev,ed_curr,ed_ratio,brightness_prev,brightness_curr,blackout_curr,whiteout_curr,camera_confidence,camera_notes
0,frame_0000.png,frame_0003.png,3,STATIC,6,1,1.0,0.1261,0.07705,0.611,0.00475,0.00548,1.153,81.8,60.5,False,False,0.8,前後フレーム間で有意な変化なし
1,frame_0003.png,frame_0006.png,6,STATIC,7,1,1.0,0.07705,0.05625,0.73,0.00548,0.00867,1.582,60.5,104.5,False,False,0.8,前後フレーム間で有意な変化なし
2,frame_0006.png,frame_0009.png,9,FOV_IN,6,2,1.0,0.05625,0.11727,2.085,0.00867,0.00839,0.968,104.5,113.0,False,False,0.4,高周波比↑ (0.056→0.117 ×2.08): ズームイン方向 FOV 変化候補（地形テクスチャ変化との混同注意・要目視確認）
3,frame_0009.png,frame_0012.png,12,STATIC,7,1,1.0,0.11727,0.07532,0.642,0.00839,0.00667,0.794,113.0,96.4,False,False,0.8,前後フレーム間で有意な変化なし
4,frame_0012.png,frame_0015.png,15,STATIC,7,3,1.0,0.07532,0.05251,0.697,0.00667,0.00745,1.118,96.4,82.2,False,False,0.8,前後フレーム間で有意な変化なし
5,frame_0015.png,frame_0018.png,18,STATIC,6,2,1.0,0.05251,0.06563,1.25,0.00745,0.00596,0.8,82.2,75.2,False,False,0.8,前後フレーム間で有意な変化なし
6,frame_0018.png,frame_0021.png,21,STATIC,6,2,1.0,0.06563,0.0834,1.271,0.00596,0.00682,1.143,75.2,98.4,False,False,0.8,前後フレーム間で有意な変化なし
7,frame_0021.png,frame_0024.png,24,STATIC,7,3,1.0,0.0834,0.03838,0.46,0.00682,0.00728,1.067,98.4,93.2,False,False,0.8,前後フレーム間で有意な変化なし
8,frame_0024.png,frame_0027.png,27,STATIC,5,2,1.0,0.03838,0.04801,1.251,0.00728,0.01581,2.173,93.2,89.8,False,False,0.8,前後フレーム間で有意な変化なし
9,frame_0027.png,frame_0030.png,30,STATIC,6,3,1.0,0.04801,0.0589,1.227,0.01581,0.01479,0.935,89.8,89.1,False,False,0.8,前後フレーム間で有意な変化なし
10,frame_0030.png,frame_0033.png,33,FOV_IN,5,3,1.0,0.0589,0.1554,2.638,0.01479,0.00987,0.667,89.1,90.6,False,False,0.4,高周波比↑ (0.059→0.155 ×2.64): ズームイン方向 FOV 変化候補（地形テクスチャ変化との混同注意・要目視確認）
11,frame_0033.png,frame_0036.png,36,STATIC,6,3,1.0,0.1554,0.06523,0.42,0.00987,0.01011,1.024,90.6,79.2,False,False,0.8,前後フレーム間で有意な変化なし
12,frame_0036.png,frame_0039.png,39,STATIC,5,3,1.0,0.06523,0.05752,0.882,0.01011,0.01252,1.238,79.2,98.9,False,False,0.8,前後フレーム間で有意な変化なし
13,frame_0039.png,frame_0042.png,42,STATIC,5,3,1.0,0.05752,0.10231,1.779,0.01252,0.0094,0.751,98.9,100.7,False,False,0.8,前後フレーム間で有意な変化なし
14,frame_0042.png,frame_0045.png,45,STATIC,5,4,1.0,0.10231,0.06966,0.681,0.0094,0.01373,1.462,100.7,82.5,False,False,0.8,前後フレーム間で有意な変化なし
15,frame_0045.png,frame_0048.png,48,STATIC,5,3,1.0,0.06966,0.06827,0.98,0.01373,0.01189,0.866,82.5,107.7,False,False,0.8,前後フレーム間で有意な変化なし
16,frame_0048.png,frame_0051.png,51,STATIC,5,4,1.0,0.06827,0.0496,0.726,0.01189,0.01065,0.896,107.7,91.5,False,False,0.8,前後フレーム間で有意な変化なし
17,frame_0051.png,frame_0054.png,54,FOV_IN,4,4,1.0,0.0496,0.14153,2.854,0.01065,0.00624,0.586,91.5,82.0,False,False,0.4,高周波比↑ (0.050→0.142 ×2.85): ズームイン方向 FOV 変化候補（地形テクスチャ変化との混同注意・要目視確認）
18,frame_0054.png,frame_0057.png,57,STATIC,5,4,1.0,0.14153,0.08517,0.602,0.00624,0.00725,1.162,82.0,83.3,False,False,0.8,前後フレーム間で有意な変化なし
19,frame_0057.png,frame_0060.png,60,STATIC,4,5,1.0,0.08517,0.07506,0.881,0.00725,0.00866,1.196,83.3,86.6,False,False,0.8,前後フレーム間で有意な変化なし
20,frame_0060.png,frame_0063.png,63,STATIC,4,4,1.0,0.07506,0.10934,1.457,0.00866,0.00507,0.586,86.6,66.6,False,False,0.8,前後フレーム間で有意な変化なし
21,frame_0063.png,frame_0066.png,66,STATIC,4,4,1.0,0.10934,0.08484,0.776,0.00507,0.00841,1.658,66.6,109.4,False,False,0.8,前後フレーム間で有意な変化なし
22,frame_0066.png,frame_0069.png,69,STATIC,0,0,1.0,0.08484,0.05338,0.629,0.00841,0.01356,1.611,109.4,106.3,False,False,0.8,前後フレーム間で有意な変化なし
23,frame_0069.png,frame_0072.png,72,STATIC,0,0,1.0,0.05338,0.0765,1.433,0.01356,0.01058,0.781,106.3,89.3,False,False,0.8,前後フレーム間で有意な変化なし
24,frame_0072.png,frame_0075.png,75,STATIC,0,0,1.0,0.0765,0.02152,0.281,0.01058,0.00881,0.832,89.3,90.9,False,False,0.8,前後フレーム間で有意な変化なし
25,frame_0075.png,frame_0078.png,78,STATIC,0,0,1.0,0.02152,0.04706,0.0,0.00881,0.01296,1.471,90.9,79.6,False,False,0.8,前後フレーム間で有意な変化なし
26,frame_0078.png,frame_0081.png,81,FOV_IN,0,0,1.0,0.04706,0.11265,2.394,0.01296,0.00698,0.539,79.6,83.5,False,False,0.4,高周波比↑ (0.047→0.113 ×2.39): ズームイン方向 FOV 変化候補（地形テクスチャ変化との混同注意・要目視確認）
27,frame_0081.png,frame_0084.png,84,STATIC,0,0,1.0,0.11265,0.05828,0.517,0.00698,0.01327,1.9,83.5,80.5,False,False,0.8,前後フレーム間で有意な変化なし
28,frame_0084.png,frame_0087.png,87,STATIC,0,0,1.0,0.05828,0.07006,1.202,0.01327,0.0118,0.889,80.5,108.4,False,False,0.8,前後フレーム間で有意な変化なし
29,frame_0087.png,frame_0090.png,90,STATIC,0,0,1.0,0.07006,0.03525,0.503,0.0118,0.01548,1.311,108.4,96.5,False,False,0.8,前後フレーム間で有意な変化なし
30,frame_0090.png,frame_0093.png,93,STATIC,0,0,1.0,0.03525,0.03398,0.964,0.01548,0.01221,0.789,96.5,69.7,False,False,0.8,前後フレーム間で有意な変化なし
31,frame_0093.png,frame_0096.png,96,STATIC,0,0,1.0,0.03398,0.06475,1.906,0.01221,0.01169,0.957,69.7,55.6,False,False,0.8,前後フレーム間で有意な変化なし
32,frame_0096.png,frame_0099.png,99,STATIC,0,0,1.0,0.06475,0.04597,0.71,0.01169,0.01081,0.925,55.6,77.1,False,False,0.8,前後フレーム間で有意な変化なし
33,frame_0099.png,frame_0102.png,102,STATIC,0,0,1.0,0.04597,0.0365,0.794,0.01081,0.016,1.48,77.1,61.7,False,False,0.8,前後フレーム間で有意な変化なし
