pair_id,frame_prev,frame_curr,timestamp_s,camera_event,cam_dx_px,cam_dy_px,pan_confidence,hf_prev,hf_curr,hf_ratio,ed_prev,ed_curr,ed_ratio,brightness_prev,brightness_curr,blackout_curr,whiteout_curr,camera_confidence,camera_notes
0,frame_000220d.png,frame_000222d.png,22.2,STATIC,0,1,1.0,0.08333,0.05352,0.642,0.00793,0.007,0.882,112.8,110.3,False,False,0.8,前後フレーム間で有意な変化なし
1,frame_000222d.png,frame_000225d.png,22.5,FOV_IN,1,0,1.0,0.05352,0.17218,3.217,0.007,0.00633,0.905,110.3,89.5,False,False,0.4,高周波比↑ (0.054→0.172 ×3.22): ズームイン方向 FOV 変化候補（地形テクスチャ変化との混同注意・要目視確認）
2,frame_000225d.png,frame_000228d.png,22.8,FOV_OUT,1,0,1.0,0.17218,0.06408,0.372,0.00633,0.00603,0.953,89.5,67.3,False,False,0.4,高周波比↓ (0.172→0.064 ×0.37): ズームアウト方向 FOV 変化候補（地形テクスチャ変化との混同注意・要目視確認）
3,frame_000228d.png,frame_000230d.png,23.0,STATIC,0,1,1.0,0.06408,0.0405,0.632,0.00603,0.00774,1.282,67.3,67.6,False,False,0.8,前後フレーム間で有意な変化なし
4,frame_000230d.png,frame_000232d.png,23.2,STATIC,1,0,1.0,0.0405,0.05923,1.462,0.00774,0.00852,1.101,67.6,81.6,False,False,0.8,前後フレーム間で有意な変化なし
5,frame_000232d.png,frame_000235d.png,23.5,STATIC,1,0,1.0,0.05923,0.0486,0.82,0.00852,0.00714,0.838,81.6,104.3,False,False,0.8,前後フレーム間で有意な変化なし
6,frame_000235d.png,frame_000238d.png,23.8,STATIC,0,0,1.0,0.0486,0.06237,1.283,0.00714,0.00732,1.025,104.3,108.4,False,False,0.8,前後フレーム間で有意な変化なし
7,frame_000238d.png,frame_000242d.png,24.2,STATIC,1,1,1.0,0.06237,0.06339,1.016,0.00732,0.00716,0.979,108.4,87.1,False,False,0.8,前後フレーム間で有意な変化なし
8,frame_000242d.png,frame_000245d.png,24.5,FOV_IN,0,0,1.0,0.06339,0.20015,3.157,0.00716,0.00713,0.995,87.1,92.6,False,False,0.4,高周波比↑ (0.063→0.200 ×3.16): ズームイン方向 FOV 変化候補（地形テクスチャ変化との混同注意・要目視確認）
9,frame_000245d.png,frame_000248d.png,24.8,STATIC,1,0,1.0,0.20015,0.10635,0.531,0.00713,0.00798,1.119,92.6,90.0,False,False,0.8,前後フレーム間で有意な変化なし
10,frame_000248d.png,frame_000250d.png,25.0,STATIC,0,0,1.0,0.10635,0.04523,0.425,0.00798,0.00738,0.924,90.0,92.5,False,False,0.8,前後フレーム間で有意な変化なし
11,frame_000250d.png,frame_000252d.png,25.2,STATIC,1,1,1.0,0.04523,0.06446,1.425,0.00738,0.01447,1.961,92.5,86.8,False,False,0.8,前後フレーム間で有意な変化なし
12,frame_000252d.png,frame_000255d.png,25.5,STATIC,0,0,1.0,0.06446,0.05792,0.899,0.01447,0.01436,0.993,86.8,80.9,False,False,0.8,前後フレーム間で有意な変化なし
13,frame_000255d.png,frame_000258d.png,25.8,STATIC,1,0,1.0,0.05792,0.04075,0.703,0.01436,0.01589,1.106,80.9,78.4,False,False,0.8,前後フレーム間で有意な変化なし
14,frame_000258d.png,frame_000260d.png,26.0,STATIC,0,0,1.0,0.04075,0.02161,0.53,0.01589,0.01512,0.952,78.4,74.1,False,False,0.8,前後フレーム間で有意な変化なし
15,frame_000260d.png,frame_000262d.png,26.2,STATIC,0,0,1.0,0.02161,0.02435,0.0,0.01512,0.01583,1.047,74.1,74.3,False,False,0.8,前後フレーム間で有意な変化なし
16,frame_000262d.png,frame_000265d.png,26.5,STATIC,1,0,1.0,0.02435,0.03845,0.0,0.01583,0.0156,0.985,74.3,82.4,False,False,0.8,前後フレーム間で有意な変化なし
17,frame_000265d.png,frame_000268d.png,26.8,STATIC,0,1,1.0,0.03845,0.05679,1.477,0.0156,0.01587,1.017,82.4,87.5,False,False,0.8,前後フレーム間で有意な変化なし
18,frame_000268d.png,frame_000272d.png,27.2,STATIC,1,0,1.0,0.05679,0.04924,0.867,0.01587,0.01546,0.974,87.5,99.9,False,False,0.8,前後フレーム間で有意な変化なし
19,frame_000272d.png,frame_000275d.png,27.5,STATIC,1,0,1.0,0.04924,0.071,1.442,0.01546,0.01329,0.859,99.9,97.0,False,False,0.8,前後フレーム間で有意な変化なし
20,frame_000275d.png,frame_000278d.png,27.8,STATIC,0,0,1.0,0.071,0.0937,1.32,0.01329,0.01232,0.927,97.0,95.4,False,False,0.8,前後フレーム間で有意な変化なし
21,frame_000278d.png,frame_000280d.png,28.0,STATIC,1,0,1.0,0.0937,0.06648,0.709,0.01232,0.01069,0.868,95.4,91.4,False,False,0.8,前後フレーム間で有意な変化なし
22,frame_000280d.png,frame_000282d.png,28.2,STATIC,0,0,1.0,0.06648,0.06271,0.943,0.01069,0.01058,0.99,91.4,79.6,False,False,0.8,前後フレーム間で有意な変化なし
23,frame_000282d.png,frame_000285d.png,28.5,STATIC,1,0,1.0,0.06271,0.07106,1.133,0.01058,0.01147,1.084,79.6,86.9,False,False,0.8,前後フレーム間で有意な変化なし
24,frame_000285d.png,frame_000288d.png,28.8,STATIC,0,0,1.0,0.07106,0.06626,0.932,0.01147,0.01194,1.041,86.9,85.7,False,False,0.8,前後フレーム間で有意な変化なし
25,frame_000288d.png,frame_000290d.png,29.0,STATIC,1,1,1.0,0.06626,0.056,0.845,0.01194,0.01282,1.074,85.7,78.9,False,False,0.8,前後フレーム間で有意な変化なし
26,frame_000290d.png,frame_000292d.png,29.2,STATIC,0,0,1.0,0.056,0.04171,0.745,0.01282,0.01352,1.055,78.9,76.0,False,False,0.8,前後フレーム間で有意な変化なし
27,frame_000292d.png,frame_000295d.png,29.5,STATIC,1,0,1.0,0.04171,0.04718,1.131,0.01352,0.01369,1.013,76.0,70.3,False,False,0.8,前後フレーム間で有意な変化なし
28,frame_000295d.png,frame_000298d.png,29.8,STATIC,0,0,1.0,0.04718,0.0804,1.704,0.01369,0.01416,1.034,70.3,80.3,False,False,0.8,前後フレーム間で有意な変化なし
29,frame_000298d.png,frame_000490d.png,49.0,PAN,33,21,1.0,0.0804,0.11894,1.479,0.01416,0.01209,0.854,80.3,90.4,False,False,0.7,カメラパン dx=+33px (conf=1.00)
30,frame_000490d.png,frame_000492d.png,49.2,STATIC,1,0,1.0,0.11894,0.04866,0.409,0.01209,0.0119,0.985,90.4,79.2,False,False,0.8,前後フレーム間で有意な変化なし
31,frame_000492d.png,frame_000495d.png,49.5,STATIC,0,0,1.0,0.04866,0.05753,1.182,0.0119,0.01212,1.018,79.2,78.9,False,False,0.8,前後フレーム間で有意な変化なし
32,frame_000495d.png,frame_000498d.png,49.8,STATIC,0,0,1.0,0.05753,0.06795,1.181,0.01212,0.0118,0.973,78.9,87.9,False,False,0.8,前後フレーム間で有意な変化なし
33,frame_000498d.png,frame_000500d.png,50.0,STATIC,0,0,1.0,0.06795,0.05355,0.788,0.0118,0.01122,0.951,87.9,92.5,False,False,0.8,前後フレーム間で有意な変化なし
