frame_name,timestamp_s,scene_type,ground_subtype,lighting_type,sensor_mode,scene_confidence,mean_brightness,texture_variance,edge_density,spatial_freq_ratio,masked_pixel_ratio,scene_notes
frame_0000.png,0.0,ground_surface,unknown,daytime,color,0.68,82.3,1.8,0.0048,0.12644,0.1824,低〜中輝度(82<125)+color→地表面（可視光の雲面は通常より明るい） / 高周波比率やや高(0.1264)→地表寄り / エッジ密度微小(0.0048≤0.008)→雲寄り（参考）
frame_0003.png,3.0,unknown,,daytime,color,0.35,61.01,2.18,0.0055,0.0772,0.1834,低〜中輝度(61<125)+color→地表面（可視光の雲面は通常より明るい） / 高周波比率やや低(0.0772)→雲寄り / エッジ密度微小(0.0055≤0.008)→雲寄り（参考） / スコア同点のため unknown
frame_0006.png,6.0,unknown,,daytime,color,0.35,104.93,3.46,0.0087,0.05609,0.1822,低〜中輝度(105<125)+color→地表面（可視光の雲面は通常より明るい） / 高周波比率低(0.0561≤0.06)→雲 / スコア同点のため unknown
frame_0009.png,9.0,ground_surface,arid,daytime,color,0.76,113.5,3.6,0.00846,0.11709,0.1806,低〜中輝度(114<125)+color→地表面（可視光の雲面は通常より明るい） / 高周波比率やや高(0.1171)→地表寄り
frame_0012.png,12.0,unknown,,daytime,color,0.35,96.9,2.7,0.0067,0.07503,0.1831,低〜中輝度(97<125)+color→地表面（可視光の雲面は通常より明るい） / 高周波比率やや低(0.0750)→雲寄り / エッジ密度微小(0.0067≤0.008)→雲寄り（参考） / スコア同点のため unknown
frame_0015.png,15.0,cloud,,daytime,color,0.55,82.21,3.08,0.00753,0.05247,0.2232,低〜中輝度(82<125)+color→地表面（可視光の雲面は通常より明るい） / 高周波比率低(0.0525≤0.06)→雲 / エッジ密度微小(0.0075≤0.008)→雲寄り（参考）
frame_0018.png,18.0,unknown,,daytime,color,0.35,75.67,2.29,0.006,0.0655,0.1829,低〜中輝度(76<125)+color→地表面（可視光の雲面は通常より明るい） / 高周波比率やや低(0.0655)→雲寄り / エッジ密度微小(0.0060≤0.008)→雲寄り（参考） / スコア同点のため unknown
frame_0021.png,21.0,ground_surface,rocky,daytime,color,0.55,98.8,2.67,0.00685,0.0829,0.187,低〜中輝度(99<125)+color→地表面（可視光の雲面は通常より明るい） / エッジ密度微小(0.0068≤0.008)→雲寄り（参考）
frame_0024.png,24.0,cloud,,daytime,color,0.55,93.52,3.07,0.00747,0.03845,0.1819,低〜中輝度(94<125)+color→地表面（可視光の雲面は通常より明るい） / 高周波比率低(0.0384≤0.06)→雲 / エッジ密度微小(0.0075≤0.008)→雲寄り（参考）
frame_0027.png,27.0,unknown,,daytime,color,0.35,90.27,5.96,0.01585,0.04789,0.1843,低〜中輝度(90<125)+color→地表面（可視光の雲面は通常より明るい） / 高周波比率低(0.0479≤0.06)→雲 / スコア同点のため unknown
frame_0030.png,30.0,unknown,,daytime,color,0.35,89.52,5.58,0.01484,0.05889,0.1901,低〜中輝度(90<125)+color→地表面（可視光の雲面は通常より明るい） / 高周波比率低(0.0589≤0.06)→雲 / スコア同点のため unknown
frame_0033.png,33.0,ground_surface,rocky,daytime,color,0.83,90.79,3.63,0.01,0.15524,0.1952,低〜中輝度(91<125)+color→地表面（可視光の雲面は通常より明るい） / 高周波比率高(0.1552≥0.15)→地表
frame_0036.png,36.0,ground_surface,unknown,daytime,color,0.55,79.65,3.57,0.01015,0.06513,0.1836,低〜中輝度(80<125)+color→地表面（可視光の雲面は通常より明るい） / 高周波比率やや低(0.0651)→雲寄り
frame_0039.png,39.0,unknown,,daytime,color,0.35,99.38,5.02,0.01254,0.0574,0.1824,低〜中輝度(99<125)+color→地表面（可視光の雲面は通常より明るい） / 高周波比率低(0.0574≤0.06)→雲 / スコア同点のため unknown
frame_0042.png,42.0,ground_surface,rocky,daytime,color,0.76,101.22,3.62,0.00947,0.10252,0.1823,低〜中輝度(101<125)+color→地表面（可視光の雲面は通常より明るい） / 高周波比率やや高(0.1025)→地表寄り
frame_0045.png,45.0,ground_surface,rocky,daytime,color,0.55,82.79,5.26,0.01374,0.06952,0.191,低〜中輝度(83<125)+color→地表面（可視光の雲面は通常より明るい） / 高周波比率やや低(0.0695)→雲寄り
frame_0048.png,48.0,ground_surface,rocky,daytime,color,0.55,108.09,4.78,0.01203,0.06798,0.181,低〜中輝度(108<125)+color→地表面（可視光の雲面は通常より明るい） / 高周波比率やや低(0.0680)→雲寄り
frame_0051.png,51.0,unknown,,daytime,color,0.35,91.92,3.28,0.01072,0.04951,0.1832,低〜中輝度(92<125)+color→地表面（可視光の雲面は通常より明るい） / 高周波比率低(0.0495≤0.06)→雲 / スコア同点のため unknown
