frame_no,timestamp_s,brightness_mean,brightness_max,brightness_min,edge_density,hf_ratio_self,hf_ratio_vs_prev,color_saturation,frame_diff_mean,frame_diff_max,blackout_flag,whiteout_flag,micro_event,event_confidence,event_notes
1,255.0,65.49,215.33333333333334,0.0,0.0074,0.0049,0.0,10.83,0.0,0.0,False,False,NONE,0.0,
2,255.0333,65.2,215.0,0.0,0.0075,0.0048,0.0,10.85,4.184,89.3,False,False,NONE,0.0,
3,255.0667,65.74,215.0,0.0,0.0075,0.0048,0.0,10.72,4.291,101.0,False,False,NONE,0.0,
4,255.1,64.48,210.0,0.0,0.0075,0.005,0.0,11.34,4.476,120.7,False,False,NONE,0.0,
5,255.1333,64.18,210.33333333333334,0.0,0.0076,0.005,0.0,11.33,4.287,85.0,False,False,NONE,0.0,
6,255.1667,64.54,210.33333333333334,0.0,0.0076,0.0049,0.0,11.16,4.38,128.3,False,False,NONE,0.0,
7,255.2,63.11,201.0,0.0,0.0075,0.005,0.0,11.81,4.645,86.7,False,False,NONE,0.0,
8,255.2333,62.88,199.66666666666666,0.0,0.0076,0.005,0.0,11.98,4.244,76.0,False,False,NONE,0.0,
9,255.2667,63.31,199.0,0.0,0.0076,0.0049,0.0,11.95,4.422,75.3,False,False,NONE,0.0,
10,255.3,63.31,199.0,0.0,0.0076,0.0049,0.0,11.93,0.108,11.0,False,False,FRAME_DROP,0.9,フレーム差分=0.108 (閾値=1.0)
11,255.3333,62.39,197.66666666666666,0.0,0.0076,0.005,0.0,12.37,4.484,59.0,False,False,NONE,0.0,
12,255.3667,64.51,194.0,0.0,0.0075,0.005,0.0,12.78,5.73,63.0,False,False,NONE,0.0,
13,255.4,72.16,201.0,0.0,0.0056,0.0057,0.0,13.88,11.286,71.7,False,False,NONE,0.0,
14,255.4333,1.88,171.66666666666666,0.0,0.0003,0.001,0.0,77.68,70.306,200.0,True,False,BLACKOUT|SENSOR_SWITCH,0.95,平均輝度=1.9 (閾値=15.0) / 彩度変化=63.8 (13.9→77.7)
15,255.4667,1.69,171.33333333333334,0.0,0.0004,0.0011,0.0,68.06,0.543,12.7,True,False,BLACKOUT|FRAME_DROP,0.95,平均輝度=1.7 (閾値=15.0) / フレーム差分=0.543 (閾値=1.0)
16,255.5,1.53,170.66666666666666,0.0,0.0004,0.0011,0.0,65.22,0.564,18.7,True,False,BLACKOUT|FRAME_DROP,0.95,平均輝度=1.5 (閾値=15.0) / フレーム差分=0.564 (閾値=1.0)
17,255.5333,28.93,171.0,0.6666666666666666,0.0018,0.0051,0.0,19.67,27.434,129.3,False,False,SENSOR_SWITCH,0.75,彩度変化=45.5 (65.2→19.7)
18,255.5667,195.03,254.33333333333334,0.0,0.0062,0.0022,0.0,5.36,166.127,245.7,False,False,BLOOM,0.7,輝度ピーク=195.0 (周辺平均=89.4 比2.18倍)
19,255.6,193.92,255.0,0.3333333333333333,0.0063,0.0022,0.0,4.96,1.605,198.7,False,False,NONE,0.0,
20,255.6333,112.43,196.66666666666666,0.0,0.0041,0.0025,0.0,7.24,81.538,230.7,False,False,NONE,0.0,
21,255.6667,175.91,253.0,0.0,0.0062,0.0023,0.0,6.17,63.526,225.0,False,False,NONE,0.0,
22,255.7,177.48,254.0,0.0,0.0069,0.0024,0.0,6.16,2.6,36.7,False,False,NONE,0.0,
23,255.7333,156.17,255.0,0.0,0.0077,0.0027,0.0,6.54,21.341,85.3,False,False,NONE,0.0,
24,255.7667,156.15,255.0,0.0,0.0078,0.0027,0.0,6.54,1.217,68.3,False,False,NONE,0.0,
25,255.8,156.07,253.0,0.0,0.0078,0.0026,0.0,6.52,1.677,85.3,False,False,NONE,0.0,
26,255.8333,80.89,254.66666666666666,0.0,0.0214,0.0031,0.0,13.7,75.26,211.3,False,False,NONE,0.0,
27,255.8667,80.83,255.0,0.0,0.0214,0.0031,0.0,13.96,9.466,208.0,False,False,NONE,0.0,
28,255.9,76.49,255.0,0.0,0.0206,0.0032,0.0,14.39,10.651,204.0,False,False,NONE,0.0,
29,255.9333,76.25,255.0,0.0,0.0205,0.0032,0.0,14.56,8.756,197.3,False,False,NONE,0.0,
30,255.9667,75.77,253.0,0.0,0.0218,0.0032,0.0,14.37,8.751,203.7,False,False,NONE,0.0,
31,256.0,75.43,254.66666666666666,0.0,0.0215,0.0032,0.0,14.71,9.013,202.0,False,False,NONE,0.0,
32,256.0333,75.13,253.66666666666666,0.0,0.0219,0.0032,0.0,14.72,9.074,187.3,False,False,NONE,0.0,
33,256.0667,75.0,253.33333333333334,0.0,0.0219,0.0031,0.0,14.96,8.963,187.3,False,False,NONE,0.0,
34,256.1,74.51,252.66666666666666,0.0,0.0229,0.0031,0.0,14.97,8.863,191.7,False,False,NONE,0.0,
35,256.1333,74.29,253.66666666666666,0.0,0.0224,0.0031,0.0,15.22,8.948,184.0,False,False,NONE,0.0,
36,256.1667,74.02,255.0,0.0,0.023,0.0032,0.0,15.28,8.87,197.0,False,False,NONE,0.0,
37,256.2,74.07,254.0,0.0,0.023,0.0032,0.0,15.35,8.806,183.0,False,False,NONE,0.0,
38,256.2333,73.89,255.0,0.0,0.024,0.0032,0.0,15.26,8.892,181.3,False,False,NONE,0.0,
39,256.2667,73.92,254.33333333333334,0.0,0.0234,0.0032,0.0,15.52,8.984,192.7,False,False,NONE,0.0,
40,256.3,73.77,254.0,0.0,0.0241,0.0031,0.0,15.48,8.83,191.3,False,False,NONE,0.0,
41,256.3333,62.09,252.33333333333334,0.0,0.0159,0.0036,0.0,17.84,13.957,199.0,False,False,NONE,0.0,
42,256.3667,61.73,253.0,0.0,0.0167,0.0035,0.0,17.79,6.077,167.0,False,False,NONE,0.0,
43,256.4,61.55,251.0,0.0,0.0169,0.0035,0.0,18.0,6.46,166.3,False,False,NONE,0.0,
44,256.4333,48.87,253.0,0.0,0.0124,0.0038,0.0,21.34,13.806,168.0,False,False,NONE,0.0,
