pdf_file,page_number,image_file,classification,ocr_engine,extracted_text,extracted_char_count,confidence_estimate,review_required,reason,notes
65_hs1-834228961_62-hq-83894_section_10,1,page_0001.png,mixed_annotation,tesseract-5.5.2,,0,95.0,true,"confidence 95.0/100, extraction likely reliable","psm=3 lang=eng; very short extraction (0 chars), possible blank or image-only page"
65_hs1-834228961_62-hq-83894_section_10,2,page_0002.png,mixed_annotation,tesseract-5.5.2,"September 6, 1966, ae
X\ L

Mrs. Levi Li Dow
Com. New Hampshire 03045 ' Oy,
Dear ‘Mrs Dow:

Your letter of August 3ist, with enclosures,
has been received and I appreciate the interest which prompted
you to write.

In response to your inquiry, this Bureau is
strictly an investigative agency of the Federal Government
and, as such, neither makes evaluations nor draws conclusions
as to the character or integrity of any organization, publication
or individual. Iam sorry I cannot be of assistance to you;
however, you may be sure your communication will be made a
matter of record.

Sincerely yours,

Ee
oa!

John Edgar Hoover
Director

I@4
O0U SNIGV3SY-0,938

|
NOTE: Bufiles contain no record of correspondent or Amalgamated
Flying Saucer Clubs of America, Inc. 4%) /

MAILED 3

ED:jeg (3)

Poste tal

ype unit L_]",816,85.3,true,"confidence 85.3/100, extraction likely reliable",psm=3 lang=eng
65_hs1-834228961_62-hq-83894_section_10,3,page_0003.png,mixed_annotation,tesseract-5.5.2,"VO7

Jue Hi 92

dJ¢",19,43.5,true,"medium confidence (43.5/100), review recommended for mixed pages","psm=3 lang=eng; very short extraction (19 chars), possible blank or image-only page"
65_hs1-834228961_62-hq-83894_section_10,4,page_0004.png,mixed_annotation,tesseract-5.5.2,"® | é

TRUE COPY

August 31, 1966

J. E. Hoover, F.B.I. Director
Wash. D. C.

Dear Sir:

Ia member of ''Nicap'' and am very much
interested in U. F.O-(Flying Saucers)

Several weeks ago a fellow employee received a
letter (business) from Arizona with a stamp on the back (see
enclosed)

Being interested in U. F.O's I asked for the stamp
& sent $3.00 for the 12 issues of AFSCA.

Having received & read my first issue I feel it isn't
just what it appears on the surface. I can't say just why, but with
my limited idea of how communists operate it strikes me it is backed
by them.

My reason for writing this is that I consider myself
a true American, I am told my ancestors go back to a Gr Gr Gr
Grandmother who was an Indian Squaw & I'm proud of it. If, by
writing for this AFSCA Report, my name could in anyway be aligned
with the communist party, I would like to know if there is any wayI _~
can get things straightened out.

I may be all wrong about my interpretation of this
report but i'd like to be sure since I expect I will get the other issues
as they come up. REC 98 2 ye Yy

I will be 63 yrs old in a few days. My husband passed
away 4-30-65 I have worked as Mer of Reins Dept for the N. H. Ins
Co in Manchester N. H 44 years this month

Mrs. Levi J. Dow Very truly yours, ~
Goffstown (Mrs) Florence C. Dow 4 stp 8 13
New Hampshire Py",1346,92.3,true,"confidence 92.3/100, extraction likely reliable",psm=3 lang=eng
65_hs1-834228961_62-hq-83894_section_10,5,page_0005.png,mixed_annotation,tesseract-5.5.2,"sais a 3) \Qbe
\ & eres, A. Bd Vode \ we E

aah S S
NNULAMe

No Se
Weary Suv:
Qam o Nuke a ace bp Oud om men4

ules? wm U 4.9 (Jubegin Sourene )
Dupuad Walo eyo pee: a guez neeired Q> nes (Busine)

mM

[yon Gurgera val @ dow
soa waded wn U4 (0s dh aca fo Ve TNs a puck 30

jo \> Weurs a AFSC,
Merwe (Letured irad ANA jak eae & w ax wl wal
urna wy ™ tle eases S| pour ape oh
with, yous Dat daa wu Cina ce
Adis he UX ta \aelud p tha,

thus va thet Ah tnaidie Ww

“Wy ALaron fLazm worries

thug alicia’ . cQ OM hey Ww sos Qmelas ay \ach t oOo

Yaa Saw Yau Viveudunatlun, Urs Wied OW Ch dLOM oe .
cin god of 216 & b oy wry fr tie ATSCA 5 ae

ANY Nae esd t Wn ay a ye i, with Che
Communiat, ose ov ae Sidhe YON

Amman ke all UUs re a nvolcus ap

{| .\

ind cd ae pure auinee Ah 2rl of voll oct. ollie
m4 v ay
iS
Kj

Saale a aA Ay
< Yuudl-augd A enmy ** 39 IGS ;
a Shame urruel ae 5 Rains Weer FY Urn. clu te Y
“maucudie® H a ya “lua AW ait aN

MRs Levi J. Dow Vey Tradl,
Ne hi Ew) Qy Vertes G . SY um

a Hue Ww aun

-
©",1014,35.3,true,"low confidence (35.3/100), may contain noise or degraded scan",psm=3 lang=eng
65_hs1-834228961_62-hq-83894_section_10,6,page_0006.png,typed_text,tesseract-5.5.2,,0,95.0,true,"confidence 95.0/100, extraction likely reliable","psm=3 lang=eng; very short extraction (0 chars), possible blank or image-only page"
65_hs1-834228961_62-hq-83894_section_10,7,page_0007.png,mixed_annotation,tesseract-5.5.2,,0,95.0,true,"confidence 95.0/100, extraction likely reliable","psm=3 lang=eng; very short extraction (0 chars), possible blank or image-only page"
65_hs1-834228961_62-hq-83894_section_10,8,page_0008.png,newspaper_or_print_clipping,tesseract-5.5.2,"AFSCA's |

(Amalgamated Flying Saucer Clubs of America )
3rd National

LYING SAUCER |
SS CONVENTION cng

9A

EXHIBITS
BOOKS At The Beautiful, New $2.00 per day’

LITERATURE CENTENNIAL COLISEUM (4590 S. Virginia St.)
Official Journal of the

Reno, Nevada - July 89,10, 1966, { Amalgamated Flying Saucer Clubs of America, Inc. |

Program: 10A.M. to 11P.M.

SPEAKERS ARE: Wayne S. Aho, Carl A. Anderson, Orfeo Angelucci, Michael 'X'' Barton, |
Wesley Bateman, Marianne Francis, Dr. Daniel W. Fry, Calvin C. Girvin, Gabriel Green,

Dr. George King, Hanno Mayberry, Howard Menger, Laura Mundo, Mel Noel, Sidney Padrick, |
Chief Standing Horse, Dr. Frank E, Stranges, Mollie Thompson, Hope Troxell, George W. |
Van Tassel, Hal Wilcox. |

Amazing experiences with spacecraft from other planets and their occupants by the 4
greatest assembly of contactee-speakers since our Los Angeles convention in 1959
at the Statler-Hilton.
Startling new photographic evidence —the biggest collection of Flying Saucer photos
on display in the history of the saucer movement. Actual color movies and new still
photos of Flying Saucers.

MEET: IN PERSON, PEOPLE WHO HAVE HAD ACTUAL CONTACTS WITH SPACESHIPS

AND THEIR CREWS FROM OTHER WORLDS. i
LEARN: About this important subject which is so vital to the welfare and survival of humanity {

in our times. \ '
ATTEND: AFSCA's 3rd National Convention. You'll be glad you did! Fill out the Advance
Registration form below. Do it Now!

For Motel & Hotel room information, write to: The Greater Reno Chamber of Commerce
P.O. Box 2109; Reno, Nevada

AFSCA 3rd NATIONAL CONVENTION ADVANCE REGISTRATION FORM

To: AFSCA Headquarters; 2004 N. Hoover St., Los Angeles, Calif. 90027. Phone: 662-4404, } ®&.

Yes, count me in! I don't want to miss joining with you at this important convention
and helping to support this vital movement. Here is my $ . Please send me
Advance Reservation tickets ($5.00 for the 3 days, or $2.00 per day). IMPORTANT: Iam
also enclosing a stamped, self-a…[truncated]",2244,90.9,true,"confidence 90.9/100, extraction likely reliable",psm=4 lang=eng; layout OCR may have column ordering issues
65_hs1-834228961_62-hq-83894_section_10,9,page_0009.png,newspaper_or_print_clipping,tesseract-5.5.2,"SPECIAL AFSCA CONVENTION MESSAGE

BRIGHT WORLD IN HANDS OF SAUCER MOVEMENT humanity. FLYING SAUCER NEWS IN _ BRIEF
Make no mistake. Your government is not in the

; ' : This special message was White House or the Congress. IT IS IN THE PENTA-

sccgttee, Wace Kalen Li Retan Gane of the GON, AND IN THE HEADQUARTERS OF THE VAST _ NEW_BOOKS NOW AVAILABLE FROM AFSCA: Wa

lanet Korendor, about 400 light years distant) on ""DEFENSE""-ORIENTED INDUSTRIES. It is THEY, (Price includes 15¢ mailing charge. California Saucers. Brochures are 1¢ each (this just about pays
P. ker? . é : e di not the President or the Congressmen, who run the residents also add 47 sales tax.) the postage to mail them to you). Saucer post cards
May 4, 1966 via special directional short-wave radio P g ise 1 I 50
by Bob Renaud, the young electronic-technician whose United States. The facade government is merely to + COUNCIL OF SEVEN LIGHTS by George Van are for $1.00.

tA ae “i ced printcd in issues #18, 19, 20,21, allay undue alarm or suspicion of the people. Tassel, now reprinted — $3.65. WHEN WRITING AFSCA, if you wish a personal
sari and-whict Will be continisd incur hext lesue. Examine another aspect of the Asian war, the 2. THE ADVENT OF THE COSMIC VIEWPOINT by reply to a specific inquiry, please enclose a stamped,

Since Bob's initial radio contact in 1961, he has ECONOMIC side. Do you recall that, in the stock Bryant Reeve — $6.15. self-addressed envelope. No replies can otherwise
talked with the crew of a spacecraft as he watched reports just recently, the Dow-Jones average 3. FLYING SAUCERS THROUGH THE AGES by Paul be sent. General information may be obtained via
them on his special TV screen in his home — and dropped sharply BECAUSE OF A RUMOR THAT Thomas — $4.15. our brochures and magazines. We are sorry that we
eventually met his contacts in-person; visited their NORTH VIETNAM HAD MADE A PEACE BID? Does f 4. OTHER TONGUES, OTHER FLESH by George cannot have a lengthy correspondence with all th…[truncated]",12843,91.7,true,"confidence 91.7/100, extraction likely reliable",psm=4 lang=eng; layout OCR may have column ordering issues
65_hs1-834228961_62-hq-83894_section_10,10,page_0010.png,newspaper_or_print_clipping,tesseract-5.5.2,"The Military-Industrial complex, by opinion-control We are able to increase our height while on
through the use of psycho-politics (brainwashing b Earth through a technical process related to telepor-
FLYING SAUCER NEWS IN BRIEF controlled news management). oy tation. It is concerned with recording the atomic and
Consider this: In order to survive, a commer- molecular structures of our bodies, and then repro-
COMING 1966 FLYING SAUCER CONVENTIONS walking around the premises, left his blessing on the cial medium, such as a newspaper or magazine, ducing them identically on a larger scale. Differ-
Aetherius Society and its work. For further inform- requires a vast amount of advertising revenue. The ences in our internal structure are adjusted by the
JULY 8,9,10: AFSCA's 3rd National Convention, ation call 465-9652, or write to the above address. mere subscription fees will not cover the costs. computer which controls the reproducer.
Centennial Coliseum, Reno, Nev. (See details on back) DELLA LARSON, who for over a decade was the Thus, they depend for their continued existence upon Our most common skin color is a little darker

JULY 15,16,17: WAYNE AHO sponsors the guiding light and main instigator of Flying Saucer money paid by advertisers. Suppose, then, that the than yours, although we have skin colors which vary
Northwest's 5th Annual Interplanetary Age Conven- meetings and activities in the San Francisco Bay editor of a certain newspaper decides that he is as yours do all over the Earth. Usually, however,
tion. Lectures, exhibits and New Age topics. Ad- Area, passed away on October 25, 1965. She was opposed to the Vietnam policy, and says so in his we would look ''tan'' to you. We are NOT green, blue,
vance registrations — $1.00 per day for adults, 50¢ 70 years old. She will be remembered for her paper. The advertisers simply say to the editor, or heliotrope, as has been suggested!
for students. Write to: Mrs. Lorena Vogt; 815 N.E. energetic and enthusiastic dedica…[truncated]",14155,92.7,true,"confidence 92.7/100, extraction likely reliable",psm=4 lang=eng; layout OCR may have column ordering issues
