file_name,agency,release_date,incident_date,incident_location,file_type,source_url,download_url,dvids_video_id,downloaded,downloaded_at,first_downloaded_at,last_verified_at,notes,content_category,media_available,ocr_status,article_priority,reader_interest,risk_level,note_series,download_scope,human_review_required
CIA-UAP-017_Placement_on_High_Alert_Due_to_Perceived_Aggressive_Foreign_Posturing.pdf,CIA,6/12/26,"July, 2008","Harare, Zimbabwe",PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/CIA-UAP-017_Placement_on_High_Alert_Due_to_Perceived_Aggressive_Foreign_Posturing.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:22 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
DOW-UAP-D084_USArmy-Flying-Saucer-Study_1949.pdf,Department of War,6/12/26,,,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/DOW-UAP-D084_USArmy-Flying-Saucer-Study_1949.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:26 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
FBI-UAP-D002_FD-1057_Unresolved-UAP-Report_ColoradoSprings_2022.pdf,FBI,6/12/26,2022,"Colorado Springs, Colorado, U.S.",PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/FBI-UAP-D002_FD-1057_Unresolved-UAP-Report_ColoradoSprings_2022.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:29 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
FBI-UAP-D003_Digital-Rendering_Unresolved-UAP-Report_ColoradoSprings_2022.pdf,FBI,6/12/26,2022,"Colorado Springs, Colorado, U.S.",PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/FBI-UAP-D003_Digital-Rendering_Unresolved-UAP-Report_ColoradoSprings_2022.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:33 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
FBI-UAP-D009_FD-302-67_Northeastern-Orb-Sighting_2026.pdf,FBI,6/12/26,2026,Northeastern United States,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/FBI-UAP-D009_FD-302-67_Northeastern-Orb-Sighting_2026.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:36 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
FBI-UAP-D010_FD-302-71_Northeastern-Orb-Sighting_2026.pdf,FBI,6/12/26,2026,Northeastern United States,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/FBI-UAP-D010_FD-302-71_Northeastern-Orb-Sighting_2026.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:39 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
FBI-UAP-D011_DFBI-Correspondence-Referral_1949.pdf,FBI,6/12/26,1949,,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/FBI-UAP-D011_DFBI-Correspondence-Referral_1949.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:42 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
FBI-UAP-PR003_Orbs_Over_the_Pond_2024.mp4,FBI,6/12/26,"October, 2024",Northeastern United States,VID,https://www.war.gov/UFO/,,1010267,true,2026-06-18 22:08:43 JST,2026-06-14 21:40:04 JST,2026-06-18 22:08:43 JST,,unclassified,video,not_applicable_video,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
FBI-UAP-PR004_Northeastern_Orb_Sighting_2025.mp4,FBI,6/12/26,"July, 2025",Northeastern United States,VID,https://www.war.gov/UFO/,,1010269,true,2026-06-18 22:08:43 JST,2026-06-14 21:40:11 JST,2026-06-18 22:08:43 JST,,unclassified,video,not_applicable_video,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
ICA-UAP-D001_Analysis_Colorado-Springs-UAP-Incident.pdf,Intelligence Community Agency,6/12/26,2022,"Colorado Springs, Colorado, U.S.",PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/061226/release_03/documents/ICA-UAP-D001_Analysis_Colorado-Springs-UAP-Incident.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:44 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
18_100754_ general 1946-7_vol_2.pdf,Department of War,5/8/26,12/30/47,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/18_100754_ general 1946-7_vol_2.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
18_6369445_general_1948_vol_1.pdf,Department of War,5/8/26,6/15/48,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/18_6369445_general_1948_vol_1.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
