file_name,file_type,agency,release_date,incident_date,incident_location,source_url,download_url,reason,recommended_save_path,status,notes
fbi-photo-a2.png,IMG,FBI,2026-05-08,Late 2025,N/A,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a2.png,DVIDS IDがカタログに未登録のため自動取得不可。war.gov ページからブラウザで手動DLが必要。,raw_media/image/,pending_manual_download,release_date_normalized_from:2005/8/26; dvids_id_missing; manual_download_required
fbi-photo-a3.png,IMG,FBI,2026-05-08,Late 2025,N/A,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a3.png,DVIDS IDがカタログに未登録のため自動取得不可。war.gov ページからブラウザで手動DLが必要。,raw_media/image/,pending_manual_download,release_date_normalized_from:2005/8/26; dvids_id_missing; manual_download_required
fbi-photo-a4.png,IMG,FBI,2026-05-08,Late 2025,N/A,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a4.png,DVIDS IDがカタログに未登録のため自動取得不可。war.gov ページからブラウザで手動DLが必要。,raw_media/image/,pending_manual_download,release_date_normalized_from:2005/8/26; dvids_id_missing; manual_download_required
fbi-photo-a5.png,IMG,FBI,2026-05-08,Late 2025,N/A,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a5.png,DVIDS IDがカタログに未登録のため自動取得不可。war.gov ページからブラウザで手動DLが必要。,raw_media/image/,pending_manual_download,release_date_normalized_from:2005/8/26; dvids_id_missing; manual_download_required
fbi-photo-a6.png,IMG,FBI,2026-05-08,Late 2025,N/A,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a6.png,DVIDS IDがカタログに未登録のため自動取得不可。war.gov ページからブラウザで手動DLが必要。,raw_media/image/,pending_manual_download,release_date_normalized_from:2005/8/26; dvids_id_missing; manual_download_required
fbi-photo-a7.png,IMG,FBI,2026-05-08,Late 2025,N/A,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a7.png,DVIDS IDがカタログに未登録のため自動取得不可。war.gov ページからブラウザで手動DLが必要。,raw_media/image/,pending_manual_download,release_date_normalized_from:2005/8/26; dvids_id_missing; manual_download_required
fbi-photo-a8.png,IMG,FBI,2026-05-08,Late 2025,N/A,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/fbi-photo-a8.png,DVIDS IDがカタログに未登録のため自動取得不可。war.gov ページからブラウザで手動DLが必要。,raw_media/image/,pending_manual_download,release_date_normalized_from:2005/8/26; dvids_id_missing; manual_download_required
nasa-uap-vm1-apollo-12-1969.jpg,IMG,NASA,2026-05-08,1969,Moon,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm1-apollo-12-1969.jpg,DVIDS IDがカタログに未登録のため自動取得不可。war.gov ページからブラウザで手動DLが必要。,raw_media/image/,pending_manual_download,release_date_normalized_from:2005/8/26; dvids_id_missing; manual_download_required
nasa-uap-vm2-apollo-12-1969.jpg,IMG,NASA,2026-05-08,1969,Moon,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm2-apollo-12-1969.jpg,DVIDS IDがカタログに未登録のため自動取得不可。war.gov ページからブラウザで手動DLが必要。,raw_media/image/,pending_manual_download,release_date_normalized_from:2005/8/26; dvids_id_missing; manual_download_required
nasa-uap-vm3-apollo-12-1969.jpg,IMG,NASA,2026-05-08,1969,Moon,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm3-apollo-12-1969.jpg,DVIDS IDがカタログに未登録のため自動取得不可。war.gov ページからブラウザで手動DLが必要。,raw_media/image/,pending_manual_download,release_date_normalized_from:2005/8/26; dvids_id_missing; manual_download_required
nasa-uap-vm4-apollo-12-1969.jpg,IMG,NASA,2026-05-08,1969,Moon,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm4-apollo-12-1969.jpg,DVIDS IDがカタログに未登録のため自動取得不可。war.gov ページからブラウザで手動DLが必要。,raw_media/image/,pending_manual_download,release_date_normalized_from:2005/8/26; dvids_id_missing; manual_download_required
nasa-uap-vm5-apollo-12-1969.jpg,IMG,NASA,2026-05-08,1969,Moon,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm5-apollo-12-1969.jpg,DVIDS IDがカタログに未登録のため自動取得不可。war.gov ページからブラウザで手動DLが必要。,raw_media/image/,pending_manual_download,release_date_normalized_from:2005/8/26; dvids_id_missing; manual_download_required
nasa-uap-vm6-apollo-17-1972.jpg,IMG,NASA,2026-05-08,1972,Moon,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm6-apollo-17-1972.jpg,DVIDS IDがカタログに未登録のため自動取得不可。war.gov ページからブラウザで手動DLが必要。,raw_media/image/,pending_manual_download,release_date_normalized_from:2005/8/26; dvids_id_missing; manual_download_required
