article_id,pdf_file_name,source_url,pdf_sha256,status,note_url,draft_path,published_path,created_date,published_date,remarks
#001,2024-04-30-composite-sketch.pdf,https://www.war.gov/medialink/ufo/release_1/2024-04-30-composite-sketch.pdf,7768268e837325333be0ea00ce5c00f571de3190e0c390f33e098f183cbf19a5,draft,,note_drafts/ai_reading_001_composite-sketch_20240430_note_version.md,,2026-05-12,,未公開。フォーマット基準未適用・公開前に更新要
#002,usper-statement-redacted.pdf,https://www.war.gov/medialink/ufo/release_1/usper-statement-redacted.pdf,63deae172b2bd4923696ed097c0c25d1286f116be1efb313d14c0630ac0a1786,draft,,note_drafts/ai_reading_002_usper-statement_note_version.md,,2026-05-12,,未公開。黒塗り多数。90分→53分・23:57→23:20 修正保留中
#003,western_us_event_slides_5.08.2026.pdf,,6a4e6ee6111eec24d28aa9b4b9d72beafe0be5a480972683fbce82f758e6be35,draft,,note_drafts/ai_reading_003_western_us_event_slides_note_version.md,,2026-05-12,,未公開
#004,nasa-uap-d1-apollo-12-transcript-1969.pdf,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d1-apollo-12-transcript-1969.pdf,ab911622b7d4203d9d54914f03d1662cf561b7f943afe9d17f9617cfaea06585,draft,,note_drafts/ai_reading_004_apollo12_transcript_note_version.md,,2026-05-12,,未公開。行数超過・圧縮推奨
#005,nasa-uap-d2-apollo-17-transcript-1972.pdf,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d2-apollo-17-transcript-1972.pdf,9d041c8799a0124dc440c05cacd790a43d9e063e399aaa5cd3ee777b14146d03,draft,,note_drafts/ai_reading_005_apollo17_transcript_note_version.md,,2026-05-12,,未公開。行数超過・圧縮強く推奨
#006,nasa-uap-d4-apollo-11-technical-crew-debriefing-1969.pdf,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d4-apollo-11-technical-crew-debriefing-1969.pdf,aacc41814dd16583bbeabe068026bf286cd9b0e464ff097c5c7b97b00d308443,published,unknown,published_articles/ai_reading_006_apollo11_debriefing_note_version.md,published_articles/ai_reading_006_apollo11_debriefing_note_version.md,2026-05-12,2026-05-12,Git版は参考ドラフト。正本はnote側
#007,nasa-uap-d6-apollo-17-technical-crew-debriefing-1973.pdf,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d6-apollo-17-technical-crew-debriefing-1973.pdf,2c874c40c55505f2348177ddde77c9fd015bf971e6e059c43508a92bc9ee6b30,published,unknown,published_articles/ai_summary_007_apollo17_debriefing_note_version_revised.md,published_articles/ai_summary_007_apollo17_debriefing_note_version_revised.md,2026-05-12,2026-05-12,Git版は参考ドラフト。旧版archive済み
#008,dow-uap-d38-range-fouler-debrief-middle-east-may-2020.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d38-range-fouler-debrief-middle-east-may-2020.pdf,90b353682ba2181149054d0911b7553e58e959438dd4de531a06fc387a332f85,published,unknown,published_articles/ai_summary_008_persian_gulf_range_fouler_note_version_revised.md,published_articles/ai_summary_008_persian_gulf_range_fouler_note_version_revised.md,2026-05-12,2026-05-12,Git版は参考ドラフト。旧版archive済み
#009,dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d56-range-fouler-debrief-arabian-sea-august-2020.pdf,9127fb5a81efacf030df4dc6290d02bcdf4c8512cf1809b6eccfe6cf16a77f31,published,unknown,published_articles/ai_reading_009_d56_arabian_sea_note_version.md,published_articles/ai_reading_009_d56_arabian_sea_note_version.md,2026-05-12,2026-05-12,Git版は参考ドラフト。DUPLICATE_ALERT: #036と同一PDF・同一SHA256
#010,dow-uap-d52-email-correspondance-na-august-2024.pdf,https://www.war.gov/medialink/ufo/release_1/dow-uap-d52-email-correspondance-na-august-2024.pdf,90570293e61c9b228e557b2e83f6e32821f5cf13879b0c5b83c1b8b58153f510,published,unknown,published_articles/ai_summary_010_d52_email_uap_orb_note_version.md,published_articles/ai_summary_010_d52_email_uap_orb_note_version.md,2026-05-12,2026-05-12,
