pdf_file,page_number,confidence_estimate,extracted_char_count,review_required,challenge_reason
2024-04-30-composite-sketch,1,95.0,0,true,0字・conf=95.0（白紙/図版判定）
255_413270_ufo's_and_defense_what_should_we_prepare_for,1,95.0,0,true,0字・conf=95.0（白紙/図版判定）
255_t_763_r1b_transcripts,2,37.2,78,true,review=trueかつconf=37.2<40
255_t_763_r1b_transcripts,4,95.0,0,true,0字・conf=95.0（白紙/図版判定）
341_110677_numerical_file_5-2500,2,95.0,0,true,0字・conf=95.0（白紙/図版判定）
341_110677_numerical_file_5-2500,4,95.0,0,true,0字・conf=95.0（白紙/図版判定）
341_110677_numerical_file_5-2500,5,17.5,222,true,review=trueかつconf=17.5<40
341_110677_numerical_file_5-2500,6,26.6,62,true,conf=26.6<30かつchar=62<100
341_110677_numerical_file_5-2500,7,20.4,80,true,conf=20.4<30かつchar=80<100
341_110677_numerical_file_5-2500,8,95.0,0,true,0字・conf=95.0（白紙/図版判定）
341_110677_numerical_file_5-2500,9,27.6,39,true,conf=27.6<30かつchar=39<100
341_110677_numerical_file_5-2500,10,95.0,0,true,0字・conf=95.0（白紙/図版判定）
342_hs1-416511228_box186_319.1-flying-discs-1949,7,95.0,0,true,0字・conf=95.0（白紙/図版判定）
342_hs1-416511228_box186_319.1-flying-discs-1949,13,38.9,65,true,review=trueかつconf=38.9<40
342_hs1-416511228_box186_319.1-flying-discs-1949,21,36.6,63,true,review=trueかつconf=36.6<40
342_hs1-416511228_box186_319.1-flying-discs-1949,22,95.0,0,true,0字・conf=95.0（白紙/図版判定）
342_hs1-416511228_box186_319.1-flying-discs-1949,23,95.0,0,true,0字・conf=95.0（白紙/図版判定）
342_hs1-416511228_box186_319.1-flying-discs-1949,24,95.0,0,true,0字・conf=95.0（白紙/図版判定）
342_hs1-416511228_box186_319.1-flying-discs-1949,34,95.0,0,true,0字・conf=95.0（白紙/図版判定）
342_hs1-416511228_box186_319.1-flying-discs-1949,42,95.0,0,true,0字・conf=95.0（白紙/図版判定）
342_hs1-416511228_box186_319.1-flying-discs-1949,45,n/a,0,true,0字・conf=0（Tesseract未取得）
342_hs1-416511228_box186_319.1-flying-discs-1949,47,95.0,0,true,0字・conf=95.0（白紙/図版判定）
342_hs1-416511228_box186_319.1-flying-discs-1949,49,95.0,0,true,0字・conf=95.0（白紙/図版判定）
342_hs1-416511228_box186_319.1-flying-discs-1949,51,95.0,0,true,0字・conf=95.0（白紙/図版判定）
342_hs1-416511228_box186_319.1-flying-discs-1949,52,95.0,0,true,0字・conf=95.0（白紙/図版判定）
342_hs1-416511228_box186_319.1-flying-discs-1949,61,95.0,0,true,0字・conf=95.0（白紙/図版判定）
